# MKBOXPRO 

time[us],acc_x[mg],acc_y[mg],acc_z[mg],gyro_x[mdps],gyro_y[mdps],gyro_z[mdps],mag_x[mG],mag_y[mG],mag_z[mG],ah_qvar[LSB],acc_x[LSB],acc_y[LSB],acc_z[LSB],gyro_x[LSB],gyro_y[LSB],gyro_z[LSB],mag_x[LSB],mag_y[LSB],mag_z[LSB],new_data
203631013,-950.868,-169.092,249.368,-1540.000,-350.000,-700.000,133.500,210.000,-393.000,,-15588,-2772,4088,-22,-5,-10,89,140,-262,0x38
203636987,-950.868,-169.092,249.368,-1540.000,-350.000,-700.000,136.500,211.500,-402.000,,-15588,-2772,4088,-22,-5,-10,91,141,-268,0x20
203638705,-952.332,-168.604,248.575,-1470.000,-700.000,-630.000,136.500,211.500,-402.000,,-15612,-2764,4075,-21,-10,-9,91,141,-268,0x18
203646901,-952.332,-168.604,248.575,-1470.000,-700.000,-630.000,136.500,213.000,-397.500,,-15612,-2764,4075,-21,-10,-9,91,142,-265,0x20
203655514,-957.212,-169.519,248.331,-1470.000,-1050.000,-280.000,136.500,213.000,-397.500,,-15692,-2779,4071,-21,-15,-4,91,142,-265,0x18
203656812,-957.212,-169.519,248.331,-1470.000,-1050.000,-280.000,136.500,208.500,-396.000,,-15692,-2779,4071,-21,-15,-4,91,139,-264,0x20
203666762,-957.212,-169.519,248.331,-1470.000,-1050.000,-280.000,133.500,211.500,-391.500,,-15692,-2779,4071,-21,-15,-4,89,141,-261,0x20
203672409,-955.931,-163.541,248.209,-1890.000,-630.000,-560.000,133.500,211.500,-391.500,,-15671,-2681,4069,-27,-9,-8,89,141,-261,0x18
203676679,-955.931,-163.541,248.209,-1890.000,-630.000,-560.000,130.500,208.500,-394.500,,-15671,-2681,4069,-27,-9,-8,87,139,-263,0x20
203686625,-955.931,-163.541,248.209,-1890.000,-630.000,-560.000,130.500,208.500,-396.000,,-15671,-2681,4069,-27,-9,-8,87,139,-264,0x20
203689167,-958.981,-164.029,248.148,-2240.000,-770.000,-210.000,130.500,208.500,-396.000,,-15721,-2689,4068,-32,-11,-3,87,139,-264,0x18
203696546,-958.981,-164.029,248.148,-2240.000,-770.000,-210.000,136.500,211.500,-391.500,,-15721,-2689,4068,-32,-11,-3,91,141,-261,0x20
203706085,-958.127,-170.800,250.100,-2310.000,70.000,-630.000,136.500,211.500,-391.500,,-15707,-2800,4100,-33,1,-9,91,141,-261,0x18
203706435,-958.127,-170.800,250.100,-2310.000,70.000,-630.000,126.000,216.000,-399.000,,-15707,-2800,4100,-33,1,-9,84,144,-266,0x20
203716266,-958.127,-170.800,250.100,-2310.000,70.000,-630.000,138.000,211.500,-397.500,,-15707,-2800,4100,-33,1,-9,92,141,-265,0x20
203722841,-954.101,-171.837,248.880,-2100.000,280.000,-980.000,138.000,211.500,-397.500,,-15641,-2817,4080,-30,4,-14,92,141,-265,0x18
203726188,-954.101,-171.837,248.880,-2100.000,280.000,-980.000,127.500,210.000,-403.500,,-15641,-2817,4080,-30,4,-14,85,140,-269,0x20
203736129,-954.101,-171.837,248.880,-2100.000,280.000,-980.000,129.000,217.500,-391.500,,-15641,-2817,4080,-30,4,-14,86,145,-261,0x20
203739735,-944.219,-171.532,250.832,-1960.000,280.000,-560.000,129.000,217.500,-391.500,,-15479,-2812,4112,-28,4,-8,86,145,-261,0x18
203746040,-944.219,-171.532,250.832,-1960.000,280.000,-560.000,135.000,208.500,-402.000,,-15479,-2812,4112,-28,4,-8,90,139,-268,0x20
203755995,-944.219,-171.532,250.832,-1960.000,280.000,-560.000,135.000,213.000,-385.500,,-15479,-2812,4112,-28,4,-8,90,142,-257,0x20
203756486,-944.524,-167.628,250.832,-2450.000,630.000,560.000,135.000,213.000,-385.500,,-15484,-2748,4112,-35,9,8,90,142,-257,0x18
203765897,-944.524,-167.628,250.832,-2450.000,630.000,560.000,135.000,210.000,-391.500,,-15484,-2748,4112,-35,9,8,90,140,-261,0x20
203773272,-944.524,-167.628,250.832,-3220.000,910.000,350.000,135.000,210.000,-391.500,,-15484,-2748,4112,-46,13,5,90,140,-261,0x10
203773455,-953.247,-169.092,248.880,-3220.000,910.000,350.000,135.000,210.000,-391.500,,-15627,-2772,4080,-46,13,5,90,140,-261,0x08
203775800,-953.247,-169.092,248.880,-3220.000,910.000,350.000,129.000,211.500,-402.000,,-15627,-2772,4080,-46,13,5,86,141,-268,0x20
203785621,-953.247,-169.092,248.880,-3220.000,910.000,350.000,133.500,214.500,-399.000,,-15627,-2772,4080,-46,13,5,89,143,-266,0x20
203790166,-956.175,-172.264,243.512,-4060.000,1750.000,-140.000,133.500,214.500,-399.000,,-15675,-2824,3992,-58,25,-2,89,143,-266,0x18
203795529,-956.175,-172.264,243.512,-4060.000,1750.000,-140.000,123.000,210.000,-399.000,,-15675,-2824,3992,-58,25,-2,82,140,-266,0x20
203805486,-956.175,-172.264,243.512,-4060.000,1750.000,-140.000,136.500,211.500,-394.500,,-15675,-2824,3992,-58,25,-2,91,141,-263,0x20
203807058,-957.761,-174.887,245.037,-4200.000,2030.000,-420.000,136.500,211.500,-394.500,,-15701,-2867,4017,-60,29,-6,91,141,-263,0x18
203815394,-957.761,-174.887,245.037,-4200.000,2030.000,-420.000,136.500,205.500,-403.500,,-15701,-2867,4017,-60,29,-6,91,137,-269,0x20
203823867,-955.748,-175.192,246.684,-3990.000,2100.000,-1260.000,136.500,205.500,-403.500,,-15668,-2872,4044,-57,30,-18,91,137,-269,0x18
203825298,-955.748,-175.192,246.684,-3990.000,2100.000,-1260.000,135.000,211.500,-397.500,,-15668,-2872,4044,-57,30,-18,90,141,-265,0x20
203835244,-955.748,-175.192,246.684,-3990.000,2100.000,-1260.000,132.000,213.000,-397.500,,-15668,-2872,4044,-57,30,-18,88,142,-265,0x20
203840605,-949.648,-174.216,247.904,-3990.000,1890.000,-1820.000,132.000,213.000,-397.500,,-15568,-2856,4064,-57,27,-26,88,142,-265,0x18
203845149,-949.648,-174.216,247.904,-3990.000,1890.000,-1820.000,121.500,210.000,-391.500,,-15568,-2856,4064,-57,27,-26,81,140,-261,0x20
203855087,-949.648,-174.216,247.904,-3990.000,1890.000,-1820.000,133.500,214.500,-399.000,,-15568,-2856,4064,-57,27,-26,89,143,-266,0x20
203857493,-945.073,-174.399,246.501,-4270.000,2030.000,-1400.000,133.500,214.500,-399.000,,-15493,-2859,4041,-61,29,-20,89,143,-266,0x18
203864871,-945.073,-174.399,246.501,-4270.000,2030.000,-1400.000,135.000,214.500,-390.000,,-15493,-2859,4041,-61,29,-20,90,143,-260,0x20
203874281,-951.112,-171.532,241.011,-4200.000,1120.000,-980.000,135.000,214.500,-390.000,,-15592,-2812,3951,-60,16,-14,90,143,-260,0x18
203874902,-951.112,-171.532,241.011,-4200.000,1120.000,-980.000,133.500,207.000,-396.000,,-15592,-2812,3951,-60,16,-14,89,138,-264,0x20
203884703,-951.112,-171.532,241.011,-4200.000,1120.000,-980.000,138.000,208.500,-394.500,,-15592,-2812,3951,-60,16,-14,92,139,-263,0x20
203891142,-955.016,-170.495,238.693,-4130.000,980.000,-1330.000,138.000,208.500,-394.500,,-15656,-2795,3913,-59,14,-19,92,139,-263,0x18
203894607,-955.016,-170.495,238.693,-4130.000,980.000,-1330.000,136.500,210.000,-399.000,,-15656,-2795,3913,-59,14,-19,91,140,-266,0x20
203904551,-955.016,-170.495,238.693,-4130.000,980.000,-1330.000,135.000,198.000,-393.000,,-15656,-2795,3913,-59,14,-19,90,132,-262,0x20
203907899,-955.016,-170.495,238.693,-3430.000,1540.000,-1820.000,135.000,198.000,-393.000,,-15656,-2795,3913,-49,22,-26,90,132,-262,0x10
203908082,-956.236,-175.375,239.913,-3430.000,1540.000,-1820.000,135.000,198.000,-393.000,,-15676,-2875,3933,-49,22,-26,90,132,-262,0x08
203914510,-956.236,-175.375,239.913,-3430.000,1540.000,-1820.000,133.500,205.500,-396.000,,-15676,-2875,3933,-49,22,-26,89,137,-264,0x20
203924330,-956.236,-175.375,239.913,-3430.000,1540.000,-1820.000,135.000,207.000,-396.000,,-15676,-2875,3933,-49,22,-26,90,138,-264,0x20
203924822,-953.857,-182.024,238.083,-2870.000,2030.000,-1330.000,135.000,207.000,-396.000,,-15637,-2984,3903,-41,29,-19,90,138,-264,0x18
203934242,-953.857,-182.024,238.083,-2870.000,2030.000,-1330.000,127.500,211.500,-399.000,,-15637,-2984,3903,-41,29,-19,85,141,-266,0x20
203941637,-954.284,-187.697,240.340,-1680.000,1470.000,-1050.000,127.500,211.500,-399.000,,-15644,-3077,3940,-24,21,-15,85,141,-266,0x18
203944175,-954.284,-187.697,240.340,-1680.000,1470.000,-1050.000,130.500,208.500,-391.500,,-15644,-3077,3940,-24,21,-15,87,139,-261,0x20
203954125,-954.284,-187.697,240.340,-1680.000,1470.000,-1050.000,132.000,201.000,-396.000,,-15644,-3077,3940,-24,21,-15,88,134,-264,0x20
203958420,-960.872,-173.240,242.536,-1820.000,1260.000,-1400.000,132.000,201.000,-396.000,,-15752,-2840,3976,-26,18,-20,88,134,-264,0x18
