time_s,centered_signal,filtered_signal,is_peak
0.0,-0.04742454137521451,-0.040620959171219044,0
0.02,-0.03707570416591219,-0.04005459057197695,0
0.04,-0.02672686695660987,-0.039490247944408974,0
0.06,-0.028007874708547858,-0.038929441151176025,0
0.08,-0.031341208041881195,-0.03837361161238634,0
0.1,-0.024020695221368377,-0.037824122826807964,0
0.12,-0.015105392439044322,-0.03728225145091339,0
0.14,-0.019041562651810274,-0.036749179033114227,0
0.16,-0.022977732864576224,-0.03622598447985338,0
0.18,-0.03346620804188112,-0.03571363730726547,0
0.2,-0.04429954137521441,-0.03521299170794731,0
0.22,-0.049005791375214415,-0.03472478144013105,0
0.24,-0.05263079137521443,-0.03424961553014712,0
0.26,-0.03334120804188104,-0.03378797477111711,0
0.28,-0.010007874708547623,-0.033340209001083934,0
0.3,-0.02256163814940798,-0.03290653514849571,0
0.32,-0.04080868771667795,-0.03248703603605566,0
0.34,-0.033979419423995,-0.03208165993115916,0
0.36,-0.028192398518071652,-0.031690220823781624,0
0.38,-0.028311446137119178,-0.03131239940594749,0
0.4,-0.028674541375214333,-0.030947744724034644,0
0.42,-0.03367454137521436,-0.030595676475091736,0
0.44,-0.038674541375214415,-0.03025548791893147,0
0.46,-0.03703817773885079,-0.029926349378926,0
0.48,-0.03374272319339626,-0.029607312307716127,0
0.5,-0.024872817237283438,-0.029297313900553925,0
0.52,-0.014272367462171026,-0.028995182248030694,0
0.54,-0.014924541375214458,-0.028699642029025113,0
0.56,-0.015576715288257891,-0.028409320750782438,0
0.58,-0.024510067691003848,-0.02812275554423356,0
0.6,-0.03490480453310907,-0.02783840051962514,0
0.62,-0.013031684232357274,-0.02755463468323669,0
0.64,0.010539744339071212,-0.02726977041361909,0
0.66,0.010642766317093204,-0.02698206249566243,0
0.68,0.006604304778631697,-0.026689717708740925,0
0.7000000000000001,0.002075458624785531,-0.026390904955708987,0
0.72,-0.00392454137521453,-0.0260837659011331,0
0.74,-0.007082436112056579,-0.025766426063749077,0
0.76,-0.009326056526729574,-0.025437006285435017,0
0.78,-0.0033412080418810837,-0.025093634480719988,0
0.8,0.0026436404429674085,-0.024734457557907114,0
0.8200000000000001,0.0086284889278159,-0.024357653394048016,0
0.84,0.008016367715694653,-0.023961442738772543,0
0.86,-7.45413752144767e-05,-0.023544100913828886,0
0.88,-0.008165450466123603,-0.023103969165132805,0
0.9,-0.013205791375214514,-0.022639465513642223,0
0.92,-0.012580791375214444,-0.02214909494379405,0
0.9400000000000001,-0.012531684232357272,-0.021631458766751956,0
0.96,-0.012674541375214399,-0.02108526300151167,0
0.98,-0.016044106592605717,-0.020509325628973004,0
1.0,-0.01941367180999704,-0.01990258259056802,0
1.02,-0.00686204137521443,-0.019264092422739926,0
1.04,0.012512958624785575,-0.018593039441013096,0
1.06,0.013922232818333952,-0.017888735411311266,0
1.08,0.0057781613274881976,-0.01715061966837947,0
1.1,-0.012870487321160414,-0.016378257658188317,0
