signal,min_distance_seconds,distance_samples,prominence,peaks_count,duration_seconds,breathing_rate_bpm
acc_x_filtered,1.5,75,1.0,8,46.54,10.31
acc_x_filtered,1.5,75,2.0,7,46.54,9.02
acc_x_filtered,1.5,75,3.0,4,46.54,5.16
acc_x_filtered,1.5,75,4.0,3,46.54,3.87
acc_x_filtered,2.0,100,1.0,8,46.54,10.31
acc_x_filtered,2.0,100,2.0,7,46.54,9.02
acc_x_filtered,2.0,100,3.0,4,46.54,5.16
acc_x_filtered,2.0,100,4.0,3,46.54,3.87
acc_x_filtered,2.5,125,1.0,8,46.54,10.31
acc_x_filtered,2.5,125,2.0,7,46.54,9.02
acc_x_filtered,2.5,125,3.0,4,46.54,5.16
acc_x_filtered,2.5,125,4.0,3,46.54,3.87
acc_x_filtered,3.0,150,1.0,8,46.54,10.31
acc_x_filtered,3.0,150,2.0,7,46.54,9.02
acc_x_filtered,3.0,150,3.0,4,46.54,5.16
acc_x_filtered,3.0,150,4.0,3,46.54,3.87
acc_y_filtered,1.5,75,1.0,9,46.54,11.6
acc_y_filtered,1.5,75,2.0,9,46.54,11.6
acc_y_filtered,1.5,75,3.0,8,46.54,10.31
acc_y_filtered,1.5,75,4.0,8,46.54,10.31
acc_y_filtered,2.0,100,1.0,9,46.54,11.6
acc_y_filtered,2.0,100,2.0,9,46.54,11.6
acc_y_filtered,2.0,100,3.0,8,46.54,10.31
acc_y_filtered,2.0,100,4.0,8,46.54,10.31
acc_y_filtered,2.5,125,1.0,9,46.54,11.6
acc_y_filtered,2.5,125,2.0,9,46.54,11.6
acc_y_filtered,2.5,125,3.0,8,46.54,10.31
acc_y_filtered,2.5,125,4.0,8,46.54,10.31
acc_y_filtered,3.0,150,1.0,9,46.54,11.6
acc_y_filtered,3.0,150,2.0,9,46.54,11.6
acc_y_filtered,3.0,150,3.0,8,46.54,10.31
acc_y_filtered,3.0,150,4.0,8,46.54,10.31
acc_z_filtered,1.5,75,1.0,9,46.54,11.6
acc_z_filtered,1.5,75,2.0,9,46.54,11.6
acc_z_filtered,1.5,75,3.0,8,46.54,10.31
acc_z_filtered,1.5,75,4.0,8,46.54,10.31
acc_z_filtered,2.0,100,1.0,9,46.54,11.6
acc_z_filtered,2.0,100,2.0,9,46.54,11.6
acc_z_filtered,2.0,100,3.0,8,46.54,10.31
acc_z_filtered,2.0,100,4.0,8,46.54,10.31
acc_z_filtered,2.5,125,1.0,9,46.54,11.6
acc_z_filtered,2.5,125,2.0,9,46.54,11.6
acc_z_filtered,2.5,125,3.0,8,46.54,10.31
acc_z_filtered,2.5,125,4.0,8,46.54,10.31
acc_z_filtered,3.0,150,1.0,9,46.54,11.6
acc_z_filtered,3.0,150,2.0,9,46.54,11.6
acc_z_filtered,3.0,150,3.0,8,46.54,10.31
acc_z_filtered,3.0,150,4.0,8,46.54,10.31
